Sample	Custom content: DupRadar_mqc-generalstats-custom_content_dupradar-dupRadar_intercept	Custom content: Biotype Counts_mqc-generalstats-custom_content_biotype_counts-percent_rRNA	Picard: Mark Duplicates_mqc-generalstats-picard_mark_duplicates-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	RSeQC_mqc-generalstats-rseqc-proper_pairs_percent	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-mapped_passed_pct	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-median_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-median_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
SNI_Sal_4_1																			81.83145153146656	56.0	150.0	150	36.36363636363637	26361668.0	11.100977095480706	80.10747021114801	57.0	133.10112365070776	147	18.181818181818183	26256914.0
SNI_Sal_4_2																			75.1307111568441	56.0	150.0	150	36.36363636363637	26361668.0	12.968950422004152	75.0955797448427	57.0	130.74508017202632	147	27.27272727272727	26256914.0
SNI_oxy_1	0.13277133136103	0.01708069723264355	0.320924	1.01	19906540.0	53.41874262387566	0.00524144	8982565.0	39878630.0	100.0	99.83562624894586	0.7570721461594844	39878630.0	48861195	48861195	100.0	75.83	17345214.0													
SNI_oxy_1_1																			41.362249030562914	49.0	150.0	150	27.27272727272727	23092623.0	15.426604245000666	39.76333667231423	49.0	127.17564043558929	142	18.181818181818183	22872831.0
SNI_oxy_1_2																			35.71859047366735	49.0	150.0	150	18.181818181818183	23092623.0	17.009052717831143	34.36467693077816	49.0	125.35213861371162	137	18.181818181818183	22872831.0
SNI_oxy_2	0.12981011377161	0.008191917667280692	0.264122	1.04	21053970.0	62.29912025620064	0.005786755	6106804.0	42233747.0	100.0	99.70211736126564	0.6082410826583774	42233747.0	48340551	48340551	100.0	83.32	19311323.0													
SNI_oxy_2_1																			34.30252710489843	47.0	150.0	150	18.181818181818183	23345167.0	5.449199885069716	33.82236579885007	47.0	141.42480045611018	147	9.090909090909092	23176856.0
SNI_oxy_2_2																			26.578843337872556	47.0	150.0	150	9.090909090909092	23345167.0	8.239838307146542	26.29972508058877	47.0	138.18006454369825	147	9.090909090909092	23176856.0
SNI_oxy_3	0.985274684474111	0.015596761789912535	0.717721	1.01	18103867.0	23.03021886972623	0.005090618	6311889.0	36247446.0	100.0	99.89044193624014	0.5107366736955757	36247446.0	42559335	42559335	100.0	80.92	16134083.0													
SNI_oxy_3_1																			62.84641434687248	48.0	150.0	150	36.36363636363637	20677059.0	10.34911989498442	61.38120136164502	48.0	138.2788458780039	147	18.181818181818183	19938932.0
SNI_oxy_3_2																			55.48168484108007	48.0	150.0	150	27.27272727272727	20677059.0	12.220186890859736	54.154541105858	48.0	136.05763307683682	147	18.181818181818183	19938932.0
SNI_oxy_4	0.350370639717249	0.0643023910745175	0.441786	0.93	20359419.0	48.14543393629462	0.005475766	5015656.0	40768046.0	100.0	99.8792976244189	0.6132253677304034	40768046.0	45783702	45783702	100.0	84.12	19157955.0													
SNI_oxy_4_1																			44.17453190684623	47.0	150.0	150	18.181818181818183	22879468.0	16.28644535499398	42.8558872430309	47.0	125.34201922944769	142	18.181818181818183	22773509.0
SNI_oxy_4_2																			37.12460625087065	48.0	150.0	150	9.090909090909092	22879468.0	17.864803150143178	36.03682458606768	47.0	123.48504641950434	137	18.181818181818183	22773509.0
Sham_Sal_1	0.756705323451387	0.16228898810743583	0.644309	1.01	15790798.0	29.296466053130636	0.005394658	5146869.0	31622501.0	100.0	99.8706459049523	0.7296197097123975	31622501.0	36769370	36769370	100.0	54.47	14504674.0													
Sham_Sal_1_1																			68.51132007709484	55.0	150.0	150	45.45454545454545	26877663.0	24.34804834036352	66.50864500764044	56.0	113.548443935015	112	36.36363636363637	26628483.0
Sham_Sal_1_2																			61.53696899910958	55.0	150.0	150	36.36363636363637	26877663.0	25.593501364559362	59.87551308779042	56.0	112.37198273743195	112	36.36363636363637	26628483.0
Sham_Sal_2	0.130092503794774	0.004135511157131928	0.311792	1.03	23316057.0	57.28216851305834	0.006059928	7523968.0	46719579.0	100.0	99.81278726848116	0.43370039785675296	46719579.0	54243547	54243547	100.0	84.72	20962286.0													
Sham_Sal_2_1																			42.693729374966395	48.0	150.0	150	18.181818181818183	24876193.0	8.001269352857436	41.92548536464812	48.0	137.6493596366003	147	9.090909090909092	24742123.0
Sham_Sal_2_2																			34.84447972086906	49.0	150.0	150	9.090909090909092	24876193.0	10.478218377975548	34.26629415217421	48.0	134.6011428768663	147	9.090909090909092	24742123.0
Sham_Sal_3	0.585339211747032	0.007095621946360666	0.596449	1.03	24932862.0	33.28143013490717	0.005163744	8410697.0	49917115.0	100.0	99.89704733536784	0.5058705816632232	49917115.0	58327812	58327812	100.0	82.34	22271696.0													
Sham_Sal_3_1																			57.915380903250416	49.0	150.0	150	27.27272727272727	27230339.0	7.553855082989112	57.33484188312145	49.0	138.66742716004322	147	18.181818181818183	27047792.0
Sham_Sal_3_2																			53.02410295846585	50.0	150.0	150	18.181818181818183	27230339.0	9.279777530496407	52.58872178624204	49.0	136.5691533711883	147	18.181818181818183	27047792.0
Sham_Sal_4	0.652650148632437	3.544710575211963	0.6795	1.05	21006313.0	25.46263878595944	0.008941801	8119510.0	42088829.0	100.0	99.81894720805846	0.9345520161656197	42088829.0	50208339	50208339	100.0	75.25	18628835.0													
Sham_Sal_4_1																			64.87153314295779	51.0	150.0	150	27.27272727272727	26193820.0	16.05665980245213	62.26677627448593	52.0	131.94743481796965	147	18.181818181818183	24754637.0
Sham_Sal_4_2																			54.796730490081806	52.0	150.0	150	27.27272727272727	26193820.0	18.505608243980195	52.08211130550771	52.0	128.91361307378492	147	18.181818181818183	24754637.0
Sham_oxy_1	0.271045865963977	1.4029784157166814	0.389479	0.83	7345118.0	49.70123939865827	0.005868392	2521968.0	14711228.0	100.0	99.85730626974171	0.9801765019208458	14711228.0	17233196	17233196	100.0	26.1	6804408.0													
Sham_oxy_1_1																			76.45454568040606	63.0	150.0	150	36.36363636363637	26198436.0	33.363357288452896	74.31055159445316	68.0	99.83782066021689	97	36.36363636363637	26067858.0
Sham_oxy_1_2																			71.71804124315862	63.0	150.0	150	45.45454545454545	26198436.0	33.88685357655192	68.60250694721196	68.0	99.51670517002202	97	36.36363636363637	26067858.0
Sham_oxy_2	0.152717665338182	0.026681570295646447	0.253606	0.99	19067405.0	66.31605491198101	0.005604841	3585756.0	38212044.0	100.0	99.79788047977752	0.4183052861553284	38212044.0	41797800	41797800	100.0	84.91	18163774.0													
Sham_oxy_2_1																			31.381343084007113	47.0	150.0	150	18.181818181818183	21521303.0	8.461295024748269	30.863411596659404	46.0	136.89292497473787	147	9.090909090909092	21392701.0
Sham_oxy_2_2																			24.839600658290877	47.0	150.0	150	9.090909090909092	21521303.0	10.627149047000856	24.47752685219345	46.0	134.46077879553405	147	9.090909090909092	21392701.0
Sham_oxy_3	0.116829911966476	0.03087803008599818	0.50474	0.98	19620926.0	41.2622762260959	0.01053427	6000167.0	39293374.0	100.0	99.86887865623349	0.8220800789466437	39293374.0	45293541	45293541	100.0	74.71	17913062.0													
Sham_oxy_3_1																			58.54887497158195	53.0	150.0	150	36.36363636363637	24089362.0	9.046011568647327	57.57756975800186	54.0	136.20998208283368	147	27.27272727272727	23978122.0
Sham_oxy_3_2																			51.830867690219904	54.0	150.0	150	27.27272727272727	24089362.0	10.993418948441501	51.13190977106916	54.0	133.7657297765021	147	27.27272727272727	23978122.0
Sham_oxy_4	0.599734454123952	0.07515533574685922	0.587843	1.03	19360745.0	33.98395169084029	0.005472361	6394106.0	38773643.0	100.0	99.86549368084913	0.721085196972593	38773643.0	45167749	45167749	100.0	76.4	17718267.0													
Sham_oxy_4_1																			54.99947185907071	49.0	150.0	150	36.36363636363637	23320167.0	16.695923346803934	53.78300662997236	50.0	124.70269004028465	142	27.27272727272727	23192701.0
Sham_oxy_4_2																			46.62229744707969	50.0	150.0	150	18.181818181818183	23320167.0	18.37939025050721	45.74350181038466	50.0	122.80478616957981	137	18.181818181818183	23192701.0
