gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000194	334.2364	0.009504835	0.09110647	0.8800205	0.9729059
ENSMUSG00000000197	1507.58	-0.02671582	0.0785514	0.6614345	0.9132515
ENSMUSG00000000202	77.5305	-0.05626898	0.12231293	0.2443028	0.6982229
ENSMUSG00000000204	0.1724106	0.006263473	0.22689982	0.5714135	NA
ENSMUSG00000000214	73.73232	-0.01164263	0.12824272	0.7279764	0.9340936
ENSMUSG00000000215	0.1383222	0.006263473	0.22689982	0.5714135	NA
ENSMUSG00000000216	2.07307	-0.01897889	0.19449621	0.2255458	0.6795207
ENSMUSG00000000223	600.9173	0.06987905	0.10109764	0.265098	0.7179035
ENSMUSG00000000244	0.8193645	0.007867322	0.18083508	0.5326571	NA
ENSMUSG00000000247	88.61606	0.1264604	0.12310053	0.03045713	0.3732863
ENSMUSG00000000248	0.08201558	0.002130945	0.21590586	0.8417778	NA
ENSMUSG00000000253	268.2376	-0.05222745	0.11111484	0.3660332	0.7830156
ENSMUSG00000000263	4.595804	-0.04435896	0.23412193	0.05675895	0.4575547
ENSMUSG00000000266	411.5839	0.08205789	0.10120931	0.1933707	0.652399
ENSMUSG00000000275	57.94741	0.03149561	0.12527309	0.443182	0.8227347
ENSMUSG00000000276	745.2165	0.02256551	0.0899934	0.7201869	0.9316248
ENSMUSG00000000278	67.97002	-0.2182118	0.14551368	0.001297328	0.09276798
ENSMUSG00000000282	117.1425	0.03677333	0.12486411	0.385841	0.7948057
ENSMUSG00000000290	34.7281	-0.04144593	0.12472389	0.3382906	0.7646447
ENSMUSG00000000295	78.2224	-0.025015	0.11042025	0.6616266	0.9132873
ENSMUSG00000000296	102.3235	-0.03537014	0.11552898	0.5078995	0.8511416
ENSMUSG00000000301	6.105078	-0.005149699	0.13479804	0.8080702	0.9568781
ENSMUSG00000000303	2.996308	-0.03797195	0.25022924	0.0731109	0.4945621
ENSMUSG00000000305	377.8547	-0.01808594	0.0998462	0.7702843	0.9468709
ENSMUSG00000000308	844.2043	-0.02985913	0.10679298	0.6155076	0.8983753
ENSMUSG00000000317	6.959519	-0.03284123	0.14242338	0.1928739	0.6517666
ENSMUSG00000000318	1.271105	-0.01259131	0.17766975	0.3703492	NA
ENSMUSG00000000320	4.174267	0.006112007	0.14033669	0.7196177	0.931547
ENSMUSG00000000325	170.0075	-0.07290218	0.10909716	0.2247463	0.6788576
ENSMUSG00000000326	400.261	-0.06828144	0.11176695	0.2417878	0.6963898
ENSMUSG00000000339	191.9529	0.06219695	0.11153458	0.2842643	0.7314509
ENSMUSG00000000340	141.5352	-0.05261966	0.11190025	0.3583148	0.7792718
ENSMUSG00000000346	424.3294	0.03604819	0.09625299	0.5661699	0.8778401
ENSMUSG00000000355	145.4279	0.05200827	0.11593552	0.3368328	0.7640527
ENSMUSG00000000359	2.437459	0.0005634043	0.14454872	0.969375	0.9928574
ENSMUSG00000000365	11.6372	0.04865695	0.14379167	0.1066979	0.5534864
ENSMUSG00000000374	884.3098	0.04408447	0.0801196	0.4735162	0.8373947
ENSMUSG00000000378	280.5152	0.03194685	0.11392009	0.5591276	0.8752785
ENSMUSG00000000384	116.5717	0.00152953	0.11044353	0.9785186	0.995443
ENSMUSG00000000386	1.237058	0.001605556	0.15389348	0.9019277	NA
ENSMUSG00000000392	3.100754	0.01559485	0.13873926	0.4512972	0.8276359
ENSMUSG00000000399	477.7524	-0.00951514	0.10094903	0.8771755	0.9722153
ENSMUSG00000000402	8.90726	0.01636178	0.13337856	0.5216206	0.8582785
ENSMUSG00000000409	11.09883	-0.04039032	0.14439656	0.1380377	0.5897563
ENSMUSG00000000411	1.156449	0.01559066	0.20504156	0.2774618	NA
ENSMUSG00000000416	1335.412	0.1589468	0.12471075	0.01085105	0.2449596
ENSMUSG00000000420	438.6766	0.009156005	0.09421429	0.8841669	0.9736941
ENSMUSG00000000439	226.3257	0.009733575	0.10212469	0.8736028	0.97172
ENSMUSG00000000440	6.147243	0.04101907	0.1453888	0.1313486	0.583526
ENSMUSG00000000441	616.1813	0.02593025	0.08029081	0.6732714	0.9173881
ENSMUSG00000000486	0.491566	0.009369496	0.20003446	0.4557082	NA
ENSMUSG00000000489	76.48518	-0.0003926046	0.11103453	0.994443	0.9992087
ENSMUSG00000000530	70.56556	0.001746393	0.12585533	0.9630221	0.9913316
ENSMUSG00000000531	178.9188	-0.02445651	0.12171177	0.5918067	0.8900446
ENSMUSG00000000532	695.7233	-0.03812316	0.0792465	0.533585	0.8654283
ENSMUSG00000000538	1323.278	0.05655854	0.08851502	0.3705715	0.7849266
ENSMUSG00000000544	0.1141571	0	0.21433687	1	NA
ENSMUSG00000000552	71.74054	0.02844584	0.12928136	0.4074732	0.8021792
ENSMUSG00000000555	45.25023	0.03529229	0.13381587	0.2511656	0.7049905
ENSMUSG00000000560	499.2059	0.03623244	0.10749858	0.5408877	0.8691644
ENSMUSG00000000561	371.4252	-0.1477414	0.09422783	0.02389324	0.3352444
ENSMUSG00000000562	5.270922	0.004840061	0.13699481	0.7980051	0.954113
ENSMUSG00000000563	1088.436	0.1156907	0.10135721	0.07223564	0.4925948
ENSMUSG00000000567	103.6872	0.08228137	0.12599448	0.09537123	0.5353682
ENSMUSG00000000568	912.8109	0.1083201	0.10648385	0.08577447	0.5184843
ENSMUSG00000000579	56.71212	-0.1742531	0.20268561	0.002480936	0.1295155
ENSMUSG00000000581	246.9587	-0.03049311	0.10499982	0.6132013	0.8977686
ENSMUSG00000000594	259.3565	0.01349047	0.09371928	0.8301747	0.9623667
ENSMUSG00000000600	650.2789	0.1026053	0.09756463	0.1100895	0.5571457
ENSMUSG00000000605	1216.821	0.005779771	0.09163732	0.926857	0.9826938
ENSMUSG00000000627	159.6878	0.003436172	0.11546283	0.9478135	0.9875969
ENSMUSG00000000628	22.40141	-0.005912443	0.126664	0.8702901	0.9699071
ENSMUSG00000000631	1051.04	0.03117318	0.09762118	0.6182998	0.8989145
ENSMUSG00000000632	1850.284	0.07502617	0.11838373	0.1671921	0.6247437
ENSMUSG00000000673	0.8086037	-0.0101124	0.20381791	0.4257815	NA
ENSMUSG00000000682	5.48916	0.02688889	0.14419432	0.2338001	0.6868249
ENSMUSG00000000686	9.266667	-0.006673662	0.13382501	0.7689473	0.9463142
ENSMUSG00000000690	0.04352699	0	0.21433687	1	NA
ENSMUSG00000000693	23.94963	-0.0687208	0.13785701	0.07467887	0.4965396
ENSMUSG00000000706	0.7553404	0.001497195	0.17172856	0.8995725	NA
ENSMUSG00000000708	321.723	-0.05912666	0.09078139	0.3506999	0.7735668
ENSMUSG00000000711	858.3013	-0.09477112	0.09639657	0.1389628	0.5897563
ENSMUSG00000000724	0.2199919	0.007058522	0.23003267	0.5278736	NA
ENSMUSG00000000730	0.1126217	0	0.21433687	1	NA
ENSMUSG00000000731	0.476026	0.00724433	0.19449478	0.5504361	NA
ENSMUSG00000000732	21.139	-0.05786017	0.14139317	0.08760401	0.522156
ENSMUSG00000000738	232.5144	-0.01241105	0.09985784	0.8410687	0.9644247
ENSMUSG00000000739	0.4925295	0.00260183	0.20347	0.8147433	NA
ENSMUSG00000000740	1611.348	-0.05348466	0.08970247	0.3976238	0.7984246
ENSMUSG00000000743	463.6661	-0.1243104	0.09382879	0.05497946	0.454944
ENSMUSG00000000751	316.8993	-0.06494842	0.09683522	0.3046819	0.7452613
ENSMUSG00000000753	27.42276	0.03386168	0.1257276	0.4057471	0.8016676
ENSMUSG00000000759	371.6443	-0.03084592	0.09208225	0.624813	0.9005968
ENSMUSG00000000766	157.8748	-0.0202	0.12002853	0.6714608	0.916276
ENSMUSG00000000776	76.67228	-0.02997995	0.11242037	0.5913364	0.8898705
ENSMUSG00000000782	33.11929	0.08557226	0.13556816	0.0532036	0.4498832
ENSMUSG00000000787	1971.95	0.06484171	0.10509617	0.2905829	0.7355209
ENSMUSG00000000791	3.774551	-0.03295772	0.19860663	0.1029794	0.550868
ENSMUSG00000000792	32.95798	-0.03238809	0.13180775	0.3103051	0.749938
ENSMUSG00000000794	578.3801	0.04478493	0.09990542	0.4723662	0.8368649
ENSMUSG00000000804	1185.288	0.3423517	0.08760991	3.062342e-07	0.0009031275
ENSMUSG00000000805	31.62593	0.03618236	0.12580083	0.3772525	0.7897737
ENSMUSG00000000811	18.77784	0.02652903	0.12634012	0.4931877	0.84615
ENSMUSG00000000817	1.02357	-0.002997696	0.16350954	0.8086595	NA
ENSMUSG00000000823	588.6124	0.07040367	0.08676145	0.2644734	0.7177888
ENSMUSG00000000826	2252.699	-0.02376106	0.08428186	0.7032523	0.9277344
ENSMUSG00000000827	284.5112	0.05415173	0.09803699	0.389141	0.7959269
ENSMUSG00000000838	422.0995	0.1111021	0.10432518	0.08108314	0.50563
ENSMUSG00000000861	552.4619	0.139533	0.13781192	0.01259719	0.256596
ENSMUSG00000000869	0.3283589	0.007058522	0.23003267	0.5278736	NA
ENSMUSG00000000876	58.1629	-0.000629925	0.11704682	0.9901061	0.9982943
ENSMUSG00000000881	1030.784	0.03420979	0.08741614	0.5863564	0.8875339
ENSMUSG00000000884	20.6826	-0.004889284	0.12577338	0.8973052	0.9770942
ENSMUSG00000000889	0.4814281	0.002803079	0.20375018	0.8009647	NA
ENSMUSG00000000901	10.12438	-0.01352793	0.13007142	0.653952	0.9103646
ENSMUSG00000000902	352.073	-0.03516398	0.10279468	0.5661182	0.8778401
ENSMUSG00000000903	0.3889245	0.00705852	0.23003267	0.5278737	NA
ENSMUSG00000000915	551.3582	-0.03904683	0.09601125	0.5347738	0.8660285
ENSMUSG00000000916	62.12056	-0.06909645	0.11850354	0.1969731	0.655299
ENSMUSG00000000934	67.5231	-0.04718383	0.12065048	0.3359821	0.7637684
ENSMUSG00000000938	0.06349146	0.002130945	0.21590586	0.8417778	NA
ENSMUSG00000000948	587.7657	0.09692823	0.11895639	0.08646145	0.5203171
ENSMUSG00000000957	39.74649	-0.0276381	0.12395098	0.5166608	0.8565838
ENSMUSG00000000958	6.232674	-0.04190555	0.15181064	0.1096731	0.5569192
ENSMUSG00000000959	210.4066	-0.1280819	0.10302072	0.04774874	0.4374672
ENSMUSG00000000976	181.7082	-0.06100335	0.10436863	0.3209852	0.7571154
ENSMUSG00000000982	0.650534	0.001996442	0.1878718	0.8613851	NA
ENSMUSG00000000983	3.062946	-0.01918906	0.15120111	0.2958232	0.7402976
ENSMUSG00000001014	1.668109	0.01258327	0.17456388	0.3746166	NA
ENSMUSG00000001016	481.447	-0.1125443	0.09785383	0.0810679	0.50563
ENSMUSG00000001017	969.5202	-0.03842747	0.08830033	0.5418009	0.8694062
ENSMUSG00000001018	269.4545	-0.03418031	0.09678392	0.5858789	0.8873716
ENSMUSG00000001020	10.00045	0.008389829	0.1293453	0.7864437	0.950627
ENSMUSG00000001021	6.655315	-0.02311947	0.13874223	0.3212511	0.7571154
ENSMUSG00000001023	0.0392667	0	0.21433687	1	NA
ENSMUSG00000001025	42.16771	-0.05832174	0.12650378	0.1864523	0.643
ENSMUSG00000001027	0.05444447	0	0.21433687	1	NA
ENSMUSG00000001029	8.383657	0.01796722	0.13652105	0.4332614	0.8160681
ENSMUSG00000001034	89.72214	0.01615701	0.11934499	0.7381294	0.937107
ENSMUSG00000001036	910.0112	0.03077231	0.08094547	0.617834	0.8988649
ENSMUSG00000001039	51.72253	0.059903	0.12250165	0.2181622	0.6718742
ENSMUSG00000001052	334.384	0.1505093	0.12237097	0.01507843	0.2722212
ENSMUSG00000001053	55.3683	-0.006278513	0.12230496	0.8861822	0.9741474
ENSMUSG00000001054	224.908	0.02966238	0.10704696	0.6170273	0.8985368
ENSMUSG00000001056	124.348	0.02247085	0.10615639	0.7062683	0.9283784
ENSMUSG00000001062	204.9906	-0.01360759	0.10561937	0.8198968	0.9595592
ENSMUSG00000001065	178.7747	-0.05667074	0.10513907	0.3530778	0.7760086
ENSMUSG00000001082	72.04746	-0.03979239	0.12245245	0.3875509	0.7951689
ENSMUSG00000001089	503.6799	0.06155556	0.0942343	0.3316042	0.7613411
ENSMUSG00000001098	285.3681	-0.1109296	0.10610815	0.07962963	0.5031879
ENSMUSG00000001100	410.361	-0.03504056	0.10006394	0.5725696	0.8815053
ENSMUSG00000001103	4.568275	0.03401092	0.2016855	0.09686867	0.5387684
ENSMUSG00000001105	170.0561	0.03436097	0.11231153	0.540157	0.8690775
ENSMUSG00000001119	1487.04	-0.02802292	0.10923393	0.6290839	0.9016154
ENSMUSG00000001120	174.2998	-0.0679577	0.10644153	0.2650175	0.7179035
ENSMUSG00000001123	18.70948	0.04183789	0.1334953	0.2053788	0.6615778
ENSMUSG00000001127	941.3184	-0.1398915	0.09336572	0.03169216	0.3784283
ENSMUSG00000001128	25.61268	-0.0196348	0.12902607	0.5526654	0.8737878
ENSMUSG00000001131	0.1791131	0.002130945	0.21590586	0.8417778	NA
ENSMUSG00000001134	25.46406	-0.02462829	0.12728046	0.5042789	0.8508023
ENSMUSG00000001138	174.2975	-0.05053635	0.11580878	0.3506724	0.7735668
ENSMUSG00000001143	187.2504	0.01920607	0.11897474	0.694561	0.9241945
ENSMUSG00000001150	592.4518	0.09716764	0.08738832	0.126061	0.5790765
ENSMUSG00000001151	346.5092	0.003556929	0.1020138	0.9536531	0.9895613
ENSMUSG00000001155	1.040445	-0.01253096	0.16944286	0.3839227	NA
ENSMUSG00000001156	206.1861	0.03062972	0.11672976	0.5557679	0.8738723
ENSMUSG00000001157	213.8336	0.04272314	0.10305561	0.4863053	0.8433963
ENSMUSG00000001158	117.5661	0.03362097	0.11639788	0.521824	0.8582785
ENSMUSG00000001166	4.535754	-0.02837524	0.1528311	0.1845877	0.642034
ENSMUSG00000001173	680.5626	0.02964904	0.09747776	0.635606	0.9041238
ENSMUSG00000001175	16802.04	0.0794564	0.08867861	0.2105183	0.6664775
ENSMUSG00000001211	1125.651	-0.02098673	0.08830616	0.738595	0.937144
ENSMUSG00000001225	1.156634	-0.0005087466	0.15300054	0.9689801	NA
ENSMUSG00000001227	592.0528	0.009595677	0.08615169	0.8782305	0.9722317
ENSMUSG00000001228	7.522177	-0.04568842	0.16101876	0.08215205	0.5067867
ENSMUSG00000001229	235.6892	0.0749861	0.11553831	0.1837938	0.6415979
ENSMUSG00000001240	32.09883	-0.01224488	0.12260286	0.778769	0.9491032
ENSMUSG00000001247	18.01438	-0.03068875	0.12877104	0.3883867	0.7953703
ENSMUSG00000001248	652.8262	-0.1342098	0.09080312	0.03795257	0.4052815
ENSMUSG00000001249	3.145438	-0.004901624	0.1408536	0.7667719	0.9453783
ENSMUSG00000001260	567.9934	-0.03340141	0.12011283	0.489913	0.8450725
ENSMUSG00000001270	6211.896	-0.1031458	0.11067787	0.09267215	0.5309702
ENSMUSG00000001280	383.0661	-0.01040467	0.09581048	0.8681559	0.9699071
ENSMUSG00000001281	2.886242	0.004371579	0.14207884	0.7835178	0.949543
ENSMUSG00000001285	148.3402	0.00965583	0.10945525	0.8667193	0.9699071
ENSMUSG00000001288	49.62387	0.03671312	0.12226235	0.4243799	0.8104486
ENSMUSG00000001289	642.1987	-0.05448063	0.10249137	0.3785352	0.7905681
ENSMUSG00000001300	519.2998	0.05485153	0.11342095	0.33036	0.7607581
ENSMUSG00000001305	74.96276	-0.02094489	0.11143011	0.7099977	0.9291425
ENSMUSG00000001313	403.4085	-0.05750151	0.10465958	0.3477359	0.7707009
ENSMUSG00000001323	497.7072	0.08844911	0.09330622	0.1665024	0.6239013
ENSMUSG00000001333	3.80052	0.01042369	0.13961702	0.5743155	0.882312
ENSMUSG00000001334	258.0314	0.06904605	0.11863907	0.1963026	0.6544244
ENSMUSG00000001348	0.3747555	0.005813006	0.2051552	0.6157735	NA
ENSMUSG00000001349	2.347698	0.02149558	0.18717969	0.197815	0.6559557
ENSMUSG00000001366	349.6749	0.008056118	0.10125868	0.895719	0.9770942
ENSMUSG00000001376	707.0571	0.1472423	0.10274192	0.02478424	0.3404891
ENSMUSG00000001380	400.4489	-0.0311497	0.10657184	0.601201	0.893949
ENSMUSG00000001383	421.8158	-0.0708412	0.1166317	0.1996065	0.657396
ENSMUSG00000001403	1.308419	-0.003154944	0.15596069	0.8078364	NA
ENSMUSG00000001415	721.3894	0.01546307	0.1036787	0.7987459	0.9542594
ENSMUSG00000001416	760.6848	-0.1177258	0.09181158	0.06777372	0.4820892
ENSMUSG00000001418	130.2977	-0.05970695	0.11035423	0.3086311	0.7482103
ENSMUSG00000001419	834.3416	0.08020476	0.11970829	0.1368437	0.5882566
ENSMUSG00000001420	2.149248	0.004379309	0.14664543	0.7636495	0.9441235
ENSMUSG00000001424	659.5089	-0.1518059	0.0918823	0.01989503	0.3118156
ENSMUSG00000001435	24.57677	-0.08638778	0.13690919	0.04909385	0.4404889
ENSMUSG00000001436	69.30694	-0.0410484	0.11466604	0.4514296	0.8276359
ENSMUSG00000001440	1511.401	-0.1090792	0.08045888	0.07845351	0.5030446
ENSMUSG00000001441	789.8299	0.1061251	0.08861588	0.09644286	0.5377975
ENSMUSG00000001444	0.1141571	0	0.21433687	1	NA
ENSMUSG00000001445	240.39	-0.07481164	0.10624678	0.2227859	0.677967
ENSMUSG00000001467	340.0664	0.02927401	0.09247889	0.6424555	0.9070392
ENSMUSG00000001472	2203.418	-0.07953594	0.08945129	0.2106699	0.6664775
ENSMUSG00000001473	4.194322	0.001756683	0.13931442	0.9171591	0.9811306
ENSMUSG00000001482	279.8745	0.1081708	0.10007309	0.09203615	0.5304338
ENSMUSG00000001493	5.472107	0.03107254	0.18591707	0.1194626	0.5703754
ENSMUSG00000001494	0.5342076	0.01225413	0.25097236	0.3211441	NA
ENSMUSG00000001496	13.39108	0.0001458607	0.13136514	0.9955958	0.999393
ENSMUSG00000001504	1.713503	-0.03088602	0.26154072	0.1019125	NA
ENSMUSG00000001506	18.85929	-0.001247947	0.13071284	0.964124	0.9917145
ENSMUSG00000001507	77.95855	-0.004658784	0.1169447	0.9271196	0.9826938
ENSMUSG00000001508	0.2946375	4.565445e-05	0.21094503	0.9966077	NA
ENSMUSG00000001517	6.39777	0.02565919	0.14065486	0.2714376	0.7211117
ENSMUSG00000001518	106.655	0.0008659453	0.11302087	0.9873863	0.997845
ENSMUSG00000001520	94.86904	-0.1204761	0.13762868	0.02043019	0.3155518
ENSMUSG00000001521	93.95523	0.0589955	0.12653836	0.1823917	0.6402033
ENSMUSG00000001524	67.31019	-0.02652715	0.11668102	0.6088237	0.896175
ENSMUSG00000001525	1900.365	0.01741757	0.08627183	0.7810441	0.9492114
ENSMUSG00000001542	139.2284	0.07375976	0.11738531	0.179492	0.6376905
ENSMUSG00000001552	320.6787	0.007389299	0.10859585	0.8987411	0.9770942
ENSMUSG00000001555	34.65899	-0.003028611	0.12466852	0.9394476	0.9851278
ENSMUSG00000001558	2.680395	0.00376623	0.14688719	0.7937107	0.9529124
ENSMUSG00000001569	215.5557	-0.06182185	0.09067523	0.3294071	0.7605488
ENSMUSG00000001576	544.1921	0.04081544	0.09241534	0.5181552	0.8573712
ENSMUSG00000001583	0.3021167	0.00705852	0.23003267	0.5278737	NA
ENSMUSG00000001588	0.2429509	-0.003164263	0.21641393	0.7692026	NA
ENSMUSG00000001604	0.9782087	-0.002699022	0.15829539	0.8317716	NA
ENSMUSG00000001627	157.3325	-0.01293753	0.10416821	0.8304484	0.9623761
ENSMUSG00000001630	219.3019	0.04275288	0.09847643	0.4945154	0.8472154
ENSMUSG00000001632	210.1479	0.03847635	0.08887178	0.5415902	0.8693162
ENSMUSG00000001642	253.7699	0.1168243	0.11054891	0.06114259	0.4663507
ENSMUSG00000001655	0.05978884	0.006263473	0.22689982	0.5714135	NA
ENSMUSG00000001663	33.36263	-0.04702694	0.12635316	0.2641971	0.7177888
ENSMUSG00000001665	15.77366	-0.03880268	0.13624158	0.1970557	0.655299
ENSMUSG00000001666	73.4791	-0.009493683	0.11841204	0.847275	0.9664132
ENSMUSG00000001670	0.5720559	-9.568984e-05	0.17757215	0.993434	NA
ENSMUSG00000001672	2.759274	-0.0153978	0.16182979	0.3308692	0.760826
ENSMUSG00000001674	116.5558	0.01248901	0.10742562	0.8318205	0.9631191
ENSMUSG00000001687	1278.576	0.03796937	0.0953055	0.5465047	0.871601
ENSMUSG00000001700	92.18873	-0.04769506	0.11683218	0.3682975	0.7842494
ENSMUSG00000001707	94.80694	-0.04007981	0.11789598	0.4354139	0.8174605
ENSMUSG00000001729	721.2858	-0.05819667	0.08774013	0.3563661	0.7784313
ENSMUSG00000001739	2.387754	-0.008684141	0.16180419	0.5258377	0.8601703
ENSMUSG00000001741	24.8906	-0.02297913	0.1260258	0.5534826	0.8737878
ENSMUSG00000001750	67.8575	0.03546442	0.11465705	0.513026	0.8544274
ENSMUSG00000001751	53.58151	-0.02652035	0.12203148	0.5584089	0.8749357
ENSMUSG00000001755	101.3351	-0.007565415	0.10853002	0.8964159	0.9770942
ENSMUSG00000001761	89.76217	-0.05988257	0.12471541	0.1961136	0.6543329
ENSMUSG00000001763	58.87914	-0.09862661	0.13493949	0.03919125	0.4109755
ENSMUSG00000001767	184.4679	-0.06689866	0.1098037	0.2596881	0.7145363
ENSMUSG00000001768	199.6714	0.005610497	0.1045392	0.9257618	0.9826938
ENSMUSG00000001773	70.86307	0.004352944	0.11719957	0.9315044	0.9834108
ENSMUSG00000001774	277.5907	0.1265802	0.10240515	0.05042513	0.4422671
ENSMUSG00000001783	658.1711	-0.09181052	0.10368686	0.1445777	0.5975682
ENSMUSG00000001785	181.9257	-0.07873219	0.09984445	0.2130464	0.6680324
ENSMUSG00000001786	259.9855	0.118495	0.11644346	0.04939809	0.4410531
ENSMUSG00000001794	354.9813	-0.08736536	0.11218266	0.1418679	0.5931932
ENSMUSG00000001802	341.4888	-0.09648764	0.09152216	0.1316684	0.583856
ENSMUSG00000001815	0.1750434	0	0.21433687	1	NA
ENSMUSG00000001827	1.527048	-0.0006568313	0.15410967	0.959569	NA
ENSMUSG00000001829	328.2143	0.04862461	0.09352651	0.4418751	0.8221792
ENSMUSG00000001833	1675.289	0.1156663	0.10566382	0.06916343	0.4845808
ENSMUSG00000001844	111.0677	-0.01275016	0.10808057	0.8272687	0.9619225
ENSMUSG00000001847	1473.287	-0.03280911	0.06232942	0.5416151	0.8693162
ENSMUSG00000001855	295.3701	0.03073373	0.11657089	0.5556989	0.8738723
ENSMUSG00000001864	72.09292	-0.01459345	0.11503812	0.7833714	0.9495382
ENSMUSG00000001870	41.46826	-0.02737405	0.11643157	0.5995223	0.8935614
ENSMUSG00000001891	517.3879	0.1157711	0.0980918	0.07314809	0.4945621
ENSMUSG00000001901	12.165	-0.01662428	0.13055932	0.5774407	0.8838995
ENSMUSG00000001909	277.5293	0.01801165	0.09591672	0.7739189	0.9482811
ENSMUSG00000001910	457.6984	0.08117372	0.088919	0.2011882	0.6593177
ENSMUSG00000001911	228.7988	0.06492064	0.13300016	0.1054329	0.5528793
ENSMUSG00000001918	12.16757	-0.05298161	0.14033272	0.1052558	0.5528793
ENSMUSG00000001924	1853.318	-0.08601508	0.08762296	0.1749003	0.6314695
ENSMUSG00000001930	130.4342	-0.05875376	0.12656198	0.1834647	0.6411742
ENSMUSG00000001942	116.3233	-0.04738571	0.11339683	0.3966783	0.7982074
ENSMUSG00000001943	4.160288	0.01386001	0.14847465	0.4131654	0.8043688
ENSMUSG00000001946	59.33253	-0.02983618	0.1191721	0.5446392	0.8706318
ENSMUSG00000001948	8.975654	-0.03837933	0.14485643	0.1463867	0.6001384
ENSMUSG00000001962	70.1131	-0.09404041	0.12272118	0.08001426	0.5034944
ENSMUSG00000001964	105.3664	-0.04430484	0.11535881	0.412889	0.8043688
ENSMUSG00000001983	40.64417	-0.06274999	0.12009387	0.2222128	0.6772808
ENSMUSG00000001985	577.5021	0.05108861	0.11672139	0.3385671	0.7646447
ENSMUSG00000001986	1662.88	0.2312008	0.12433484	0.0009513626	0.07758557
ENSMUSG00000001988	5.200537	0.00954195	0.13767309	0.6240656	0.8998754
ENSMUSG00000001995	263.3052	0.03774056	0.1047261	0.5334755	0.8653266
ENSMUSG00000001998	167.6658	-0.05224384	0.11060494	0.3685445	0.7842494
ENSMUSG00000001999	67.54095	0.0127498	0.12174131	0.7765048	0.9487672
ENSMUSG00000002006	962.7288	-0.1219523	0.10625195	0.05619758	0.4575547
ENSMUSG00000002007	29.05992	0.002238025	0.12907185	0.9427838	0.9860027
ENSMUSG00000002010	505.8964	-0.02880586	0.09461045	0.6471439	0.90842
ENSMUSG00000002012	542.5522	-0.12552	0.12105182	0.03386643	0.3867281
ENSMUSG00000002014	186.2948	-0.003399415	0.10226073	0.9556406	0.9903422
ENSMUSG00000002015	217.7903	-0.08120951	0.09555077	0.20267	0.6597372
ENSMUSG00000002017	110.8598	0.0337548	0.10402075	0.5787732	0.8840041
ENSMUSG00000002020	4.064686	-0.01172722	0.13667226	0.5737472	0.881981
ENSMUSG00000002028	1745.805	0.02727981	0.124317	0.5162255	0.856276
ENSMUSG00000002031	151.2764	-0.0520106	0.11019413	0.3726497	0.7863605
ENSMUSG00000002032	96.14288	-0.03105285	0.11256164	0.5776513	0.8839021
ENSMUSG00000002043	35.40011	-0.04469959	0.12250954	0.3371404	0.7644384
ENSMUSG00000002052	1197.978	-0.05223191	0.07657087	0.3873749	0.7951689
ENSMUSG00000002055	22.94151	0.02272925	0.13012668	0.4748119	0.8380948
