Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Sham_Sal_4_1	Sham_Sal_4_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24754637.0	0.0	20-150	52.0	37.73322372551407	131.94743481796965	147	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
Sham_Sal_4_2	Sham_Sal_4_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24754637.0	0.0	20-150	52.0	47.91788869449229	128.91361307378492	147	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
Sham_oxy_1_1	Sham_oxy_1_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26067858.0	0.0	20-150	68.0	25.689448405546848	99.83782066021689	97	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Sham_oxy_1_2	Sham_oxy_1_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26067858.0	0.0	20-150	68.0	31.397493052788043	99.51670517002202	97	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
Sham_oxy_2_1	Sham_oxy_2_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21392701.0	0.0	20-150	46.0	69.1365884033406	136.89292497473787	147	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
Sham_oxy_2_2	Sham_oxy_2_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21392701.0	0.0	20-150	46.0	75.52247314780655	134.46077879553405	147	pass	pass	warn	pass	fail	warn	pass	warn	pass	warn	pass
Sham_oxy_3_1	Sham_oxy_3_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23978122.0	0.0	20-150	54.0	42.42243024199814	136.20998208283368	147	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
Sham_oxy_3_2	Sham_oxy_3_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23978122.0	0.0	20-150	54.0	48.86809022893084	133.7657297765021	147	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
Sham_oxy_4_1	Sham_oxy_4_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23192701.0	0.0	20-150	50.0	46.21699337002764	124.70269004028465	142	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
Sham_oxy_4_2	Sham_oxy_4_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23192701.0	0.0	20-150	50.0	54.25649818961534	122.80478616957981	137	pass	pass	warn	pass	fail	fail	pass	warn	warn	warn	pass
