task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
12	80/889669	12109285	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Sham_oxy_4)	COMPLETED	0	2024-08-15 08:25:18.993	2m 13s	2m 8s	191.6%	1.1 GB	6 GB	4 GB	4 MB
21	1b/0b88c4	12109271	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Sham_Sal_2)	COMPLETED	0	2024-08-15 08:25:17.724	2m 20s	2m 14s	192.7%	1.1 GB	6.1 GB	4.5 GB	3.9 MB
24	21/0ab761	12109275	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SNI_oxy_2)	COMPLETED	0	2024-08-15 08:25:18.092	2m 24s	2m 17s	192.5%	1.2 GB	6 GB	4.3 GB	3.9 MB
29	41/403d7c	12109273	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Sham_Sal_1)	COMPLETED	0	2024-08-15 08:25:17.879	2m 30s	2m 23s	192.9%	1.1 GB	6.1 GB	4.3 GB	4.1 MB
17	c4/9fb756	12109289	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Sham_oxy_3)	COMPLETED	0	2024-08-15 08:25:19.427	2m 28s	2m 21s	194.3%	1.1 GB	6 GB	4 GB	3.9 MB
10	ed/ce0059	12109288	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Sham_Sal_4)	COMPLETED	0	2024-08-15 08:25:19.378	2m 33s	2m 24s	191.9%	1.1 GB	6.1 GB	4.6 GB	4 MB
31	50/6df264	12109291	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SNI_Sal_1)	COMPLETED	0	2024-08-15 08:25:19.840	2m 33s	2m 27s	194.4%	1.2 GB	6 GB	4.1 GB	3.9 MB
13	f1/94c2cd	12109274	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SNI_Sal_4)	COMPLETED	0	2024-08-15 08:25:17.987	3m 9s	3m 3s	158.8%	1014.3 MB	6.1 GB	3.8 GB	4 MB
19	ed/a4b942	12109293	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SNI_Sal_3)	COMPLETED	0	2024-08-15 08:25:20.112	3m 27s	3m 20s	165.3%	1.3 GB	6.1 GB	4.5 GB	4 MB
25	26/386fbb	12109267	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SNI_Sal_2)	COMPLETED	0	2024-08-15 08:22:20.455	8m 32s	8m 23s	650.5%	4.4 GB	5.8 GB	108.4 GB	104.7 GB
11	90/05878d	12109266	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SNI_oxy_3)	COMPLETED	0	2024-08-15 08:22:20.398	8m 57s	8m 45s	721.5%	4.6 GB	5.9 GB	95.6 GB	91.8 GB
36	08/e0e40f	12109300	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (SNI_Sal_2)	COMPLETED	0	2024-08-15 08:30:53.187	1m 24s	1m 18s	98.0%	9.7 MB	14.2 MB	4.1 GB	124.1 MB
38	99/1d1d0e	12109302	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (SNI_oxy_3)	COMPLETED	0	2024-08-15 08:31:17.706	1m 40s	1m 36s	98.5%	9.2 MB	13.7 MB	4.6 GB	166.4 MB
28	5b/c61fe6	12109283	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Sham_oxy_1)	COMPLETED	0	2024-08-15 08:25:18.919	7m 39s	7m 27s	648.1%	3.7 GB	5.8 GB	100.9 GB	97 GB
39	80/36666d	12109303	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (Sham_oxy_1)	COMPLETED	0	2024-08-15 08:32:57.761	1m 20s	1m 10s	97.4%	9.9 MB	14.4 MB	3.6 GB	102.3 MB
27	67/5963c5	12109282	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Sham_Sal_1)	COMPLETED	0	2024-08-15 08:25:18.865	9m 19s	9m 7s	722.6%	4.1 GB	5.9 GB	111.8 GB	107.4 GB
5	57/a309c8	12109276	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SNI_Sal_4)	COMPLETED	0	2024-08-15 08:25:18.106	9m 24s	9m 14s	645.2%	4.5 GB	5.8 GB	118.7 GB	114.8 GB
6	62/e22371	12109292	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SNI_oxy_4)	COMPLETED	0	2024-08-15 08:25:20.053	9m 27s	9m 18s	732.1%	4.3 GB	5.9 GB	101.8 GB	97.7 GB
33	46/1da905	12109297	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SNI_oxy_1)	COMPLETED	0	2024-08-15 08:25:20.953	9m 31s	9m 24s	717.8%	4.4 GB	5.9 GB	103.1 GB	99 GB
4	2a/292c27	12109277	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Sham_oxy_4)	COMPLETED	0	2024-08-15 08:25:18.166	9m 44s	9m 35s	726.0%	4.3 GB	5.8 GB	103.2 GB	99.1 GB
18	df/ae2239	12109270	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Sham_oxy_2)	COMPLETED	0	2024-08-15 08:25:17.644	9m 50s	9m 37s	737.4%	4.6 GB	5.8 GB	101.2 GB	97.1 GB
8	df/74b241	12109272	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Sham_oxy_3)	COMPLETED	0	2024-08-15 08:25:17.827	9m 50s	9m 43s	714.0%	4.6 GB	5.9 GB	111.6 GB	107.5 GB
9	79/871057	12109296	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SNI_Sal_3)	COMPLETED	0	2024-08-15 08:25:20.761	9m 57s	9m 45s	724.8%	4.1 GB	5.8 GB	114.6 GB	110 GB
26	59/2c3235	12109287	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SNI_oxy_2)	COMPLETED	0	2024-08-15 08:25:19.308	10m 48s	10m 38s	719.7%	4.7 GB	5.8 GB	111.6 GB	107.2 GB
40	de/b3ba7d	12109304	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (Sham_Sal_1)	COMPLETED	0	2024-08-15 08:34:37.634	1m 35s	1m 30s	97.8%	9.9 MB	14.5 MB	4.7 GB	129 MB
41	93/9ef4fe	12109305	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (SNI_Sal_4)	COMPLETED	0	2024-08-15 08:34:43.010	1m 29s	1m 23s	98.5%	10 MB	14.4 MB	4.5 GB	126.7 MB
16	4f/656f28	12109280	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Sham_Sal_2)	COMPLETED	0	2024-08-15 08:25:18.585	10m 54s	10m 42s	728.3%	4.6 GB	5.8 GB	117 GB	112.3 GB
3	2c/db351b	12109281	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Sham_Sal_4)	COMPLETED	0	2024-08-15 08:25:18.757	10m 54s	10m 41s	716.7%	4.4 GB	5.9 GB	115.9 GB	111.2 GB
42	c4/b8cf3a	12109306	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (SNI_oxy_4)	COMPLETED	0	2024-08-15 08:34:47.600	1m 45s	1m 35s	98.5%	9.7 MB	14 MB	4.8 GB	154.8 MB
43	1d/d816fc	12109307	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (SNI_oxy_1)	COMPLETED	0	2024-08-15 08:34:52.599	1m 40s	1m 34s	98.2%	9.5 MB	14 MB	4.8 GB	152.2 MB
44	4b/e0b3e1	12109308	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (Sham_oxy_4)	COMPLETED	0	2024-08-15 08:35:03.109	1m 39s	1m 35s	97.9%	9.5 MB	14 MB	4.8 GB	151.3 MB
46	13/755966	12109310	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (Sham_oxy_3)	COMPLETED	0	2024-08-15 08:35:09.598	1m 43s	1m 36s	97.8%	9.7 MB	14.1 MB	5 GB	152.3 MB
45	54/099832	12109309	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (Sham_oxy_2)	COMPLETED	0	2024-08-15 08:35:07.640	1m 50s	1m 43s	98.1%	9.3 MB	13.8 MB	5 GB	171 MB
47	ab/7c99ae	12109311	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (SNI_Sal_3)	COMPLETED	0	2024-08-15 08:35:17.623	1m 45s	1m 37s	97.8%	10 MB	14.5 MB	5.1 GB	139.9 MB
32	a3/16684e	12109290	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SNI_Sal_1)	COMPLETED	0	2024-08-15 08:25:19.504	11m 48s	11m 39s	689.4%	4.5 GB	5.8 GB	107.2 GB	103 GB
7	9b/9d53b8	12109278	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Sham_Sal_3)	COMPLETED	0	2024-08-15 08:25:18.436	12m 14s	12m	730.6%	4.7 GB	5.9 GB	128.4 GB	123.4 GB
48	bd/a07518	12109312	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (SNI_oxy_2)	COMPLETED	0	2024-08-15 08:36:07.732	1m 55s	1m 47s	98.3%	9.2 MB	14 MB	5.6 GB	174.7 MB
49	39/42b53a	12109313	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (Sham_Sal_4)	COMPLETED	0	2024-08-15 08:36:12.685	1m 50s	1m 44s	97.7%	9.8 MB	14.2 MB	5.4 GB	158.1 MB
50	e9/c4380d	12109314	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (Sham_Sal_2)	COMPLETED	0	2024-08-15 08:36:12.888	1m 55s	1m 48s	98.3%	9.9 MB	14.2 MB	5.8 GB	169.5 MB
51	49/68d9da	12109315	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (SNI_Sal_1)	COMPLETED	0	2024-08-15 08:37:07.722	1m 50s	1m 40s	98.2%	9.3 MB	14 MB	5.1 GB	161.8 MB
52	48/e9f587	12109316	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (Sham_Sal_3)	COMPLETED	0	2024-08-15 08:37:32.924	2m	1m 52s	98.5%	10.2 MB	14.5 MB	6.2 GB	167.1 MB
37	96/474ad6	12109301	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_INDEX (genome.transcripts.fa)	COMPLETED	0	2024-08-15 08:30:53.340	26m 39s	26m 24s	451.3%	16.4 GB	35.3 GB	55.4 GB	32.1 GB
56	96/c9010a	12109317	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (Sham_Sal_1)	COMPLETED	0	2024-08-15 08:57:34.000	1m 4s	58s	157.6%	15 GB	18.9 GB	14.4 GB	461.7 KB
54	1b/95c86a	12109318	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (SNI_oxy_3)	COMPLETED	0	2024-08-15 08:57:34.787	1m 8s	58s	175.0%	15.1 GB	19 GB	14.4 GB	471.1 KB
62	70/822e8d	12109322	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (Sham_oxy_2)	COMPLETED	0	2024-08-15 08:57:36.225	1m 6s	1m	195.0%	15 GB	18.9 GB	14.4 GB	466.3 KB
65	c6/971f63	12109330	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (Sham_Sal_4)	COMPLETED	0	2024-08-15 08:57:38.592	1m 4s	58s	159.6%	15 GB	18.9 GB	14.4 GB	468.2 KB
55	ab/ab599e	12109319	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (Sham_oxy_1)	COMPLETED	0	2024-08-15 08:57:35.204	1m 12s	1m 5s	137.5%	15 GB	18.9 GB	14.3 GB	452.8 KB
61	fe/d266c9	12109324	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (Sham_oxy_3)	COMPLETED	0	2024-08-15 08:57:37.283	1m 10s	1m 3s	151.3%	15 GB	18.9 GB	14.4 GB	461 KB
59	73/f27de0	12109321	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (SNI_oxy_1)	COMPLETED	0	2024-08-15 08:57:35.814	1m 17s	1m 9s	159.2%	15.1 GB	19 GB	14.4 GB	469.7 KB
58	90/af278d	12109320	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (SNI_oxy_4)	COMPLETED	0	2024-08-15 08:57:35.311	1m 17s	1m 10s	168.0%	15.1 GB	19 GB	14.4 GB	465.1 KB
57	1a/bdb376	12109323	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (SNI_Sal_4)	COMPLETED	0	2024-08-15 08:57:36.431	1m 16s	1m 9s	124.5%	15 GB	18.9 GB	14.4 GB	450.8 KB
53	88/e47c76	12109327	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (SNI_Sal_2)	COMPLETED	0	2024-08-15 08:57:38.034	1m 15s	1m 8s	128.5%	15 GB	18.9 GB	14.4 GB	449.4 KB
67	0d/33f2ad	12109331	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (SNI_Sal_1)	COMPLETED	0	2024-08-15 08:57:38.997	1m 14s	1m 8s	148.5%	15.1 GB	19 GB	14.4 GB	471 KB
64	85/b04bd6	12109325	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (SNI_oxy_2)	COMPLETED	0	2024-08-15 08:57:37.590	1m 20s	1m 11s	161.2%	15.1 GB	19 GB	14.4 GB	470.6 KB
68	29/9545f5	12109332	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (Sham_Sal_3)	COMPLETED	0	2024-08-15 08:57:39.531	1m 18s	1m 10s	165.9%	15 GB	19 GB	14.4 GB	472.9 KB
60	63/6c6424	12109326	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (Sham_oxy_4)	COMPLETED	0	2024-08-15 08:57:37.952	1m 25s	1m 15s	147.1%	15 GB	18.9 GB	14.4 GB	468.8 KB
66	fc/4a3fe3	12109328	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (Sham_Sal_2)	COMPLETED	0	2024-08-15 08:57:38.198	1m 24s	1m 17s	142.2%	15.1 GB	18.9 GB	14.4 GB	473.6 KB
63	28/9a1548	12109329	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (SNI_Sal_3)	COMPLETED	0	2024-08-15 08:57:38.355	1m 24s	1m 18s	147.2%	15 GB	18.9 GB	14.4 GB	462.7 KB
76	d9/444457	12109339	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (SNI_oxy_4)	COMPLETED	0	2024-08-15 08:58:53.302	11m 19s	11m 4s	793.6%	33.4 GB	35.1 GB	54.8 GB	6.1 GB
86	3f/881b55	12109350	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (SNI_oxy_4)	COMPLETED	0	2024-08-15 09:10:13.873	1m 24s	1m 16s	436.0%	5.2 GB	6.4 GB	2.9 GB	7.2 MB
71	b3/4e46ee	12109335	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (Sham_oxy_2)	COMPLETED	0	2024-08-15 08:58:43.301	13m 9s	12m 55s	722.2%	33.4 GB	35.3 GB	54.9 GB	6.3 GB
85	3c/23ad26	12109349	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SNI_oxy_4)	COMPLETED	0	2024-08-15 09:10:13.013	1m 50s	1m 31s	470.3%	5.1 GB	6.1 GB	7.1 GB	5.6 GB
70	b3/98d12d	12109334	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (SNI_oxy_3)	COMPLETED	0	2024-08-15 08:58:42.826	13m 35s	13m 20s	683.1%	33.4 GB	35.3 GB	53.1 GB	7 GB
89	d2/cecc68	12109353	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SNI_oxy_4)	COMPLETED	0	2024-08-15 09:12:03.036	19.6s	16s	141.8%	27 MB	209.9 MB	2.6 GB	3 MB
74	5d/8397d8	12109338	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (Sham_oxy_3)	COMPLETED	0	2024-08-15 08:58:48.139	13m 54s	13m 41s	802.5%	33.4 GB	35.1 GB	58.2 GB	6.4 GB
75	a2/f3acda	12109342	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (SNI_oxy_1)	COMPLETED	0	2024-08-15 08:58:54.052	13m 49s	13m 35s	736.9%	33.5 GB	35.3 GB	55.2 GB	7 GB
80	2b/3a0dca	12109344	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (SNI_oxy_2)	COMPLETED	0	2024-08-15 08:58:57.845	14m 15s	13m 59s	704.7%	33.5 GB	35.3 GB	57.9 GB	7.9 GB
88	f2/067fd0	12109352	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (Sham_oxy_2)	COMPLETED	0	2024-08-15 09:11:52.806	1m 30s	1m 23s	445.3%	4.8 GB	6.4 GB	3 GB	7.2 MB
82	93/a50a36	12109346	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (Sham_oxy_4)	COMPLETED	0	2024-08-15 08:59:02.640	14m 20s	14m	813.6%	33.4 GB	35.3 GB	55.2 GB	6.6 GB
87	74/62004b	12109351	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (Sham_oxy_2)	COMPLETED	0	2024-08-15 09:11:52.747	1m 45s	1m 27s	493.0%	5.1 GB	6.1 GB	7.4 GB	5.9 GB
91	57/0dd853	12109356	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SNI_oxy_3)	COMPLETED	0	2024-08-15 09:12:18.299	1m 34s	1m 22s	508.3%	5.1 GB	6.1 GB	7 GB	5.1 GB
79	70/6474bb	12109341	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (SNI_Sal_1)	COMPLETED	0	2024-08-15 08:58:53.732	14m 59s	14m 45s	735.5%	33.4 GB	35.3 GB	56.6 GB	7.4 GB
92	32/5d212b	12109355	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (SNI_oxy_3)	COMPLETED	0	2024-08-15 09:12:18.139	1m 39s	1m 33s	456.7%	4.8 GB	6.4 GB	3.7 GB	7.2 MB
101	3c/3f5269	12109365	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (Sham_oxy_2)	COMPLETED	0	2024-08-15 09:13:37.820	19.8s	17s	134.7%	26.3 MB	209.9 MB	2.8 GB	3 MB
103	77/cfee33	12109367	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SNI_oxy_3)	COMPLETED	0	2024-08-15 09:13:53.012	19.6s	16s	135.8%	21.2 MB	209.9 MB	2.3 GB	2.7 MB
95	07/482c00	12109359	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SNI_oxy_1)	COMPLETED	0	2024-08-15 09:12:43.944	1m 39s	1m 25s	526.1%	5.1 GB	6.1 GB	7.1 GB	5.6 GB
94	63/11e834	12109358	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (Sham_oxy_3)	COMPLETED	0	2024-08-15 09:12:43.666	1m 44s	1m 38s	422.0%	4.6 GB	5.6 GB	3 GB	7.2 MB
96	ff/90bf00	12109360	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (SNI_oxy_1)	COMPLETED	0	2024-08-15 09:12:44.636	1m 43s	1m 33s	437.6%	5.2 GB	6.4 GB	3.6 GB	7.2 MB
107	30/245f8b	12109371	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SNI_oxy_1)	COMPLETED	0	2024-08-15 09:14:22.865	24.8s	18s	136.1%	31.1 MB	209.9 MB	2.8 GB	3 MB
77	f2/45988f	12109340	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (SNI_Sal_4)	COMPLETED	0	2024-08-15 08:58:53.521	15m 54s	15m 36s	839.4%	33.4 GB	35.2 GB	60.6 GB	7.3 GB
97	84/59efe0	12109361	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SNI_oxy_2)	COMPLETED	0	2024-08-15 09:13:12.834	1m 45s	1m 27s	525.4%	5.1 GB	6 GB	8.1 GB	6.2 GB
100	d0/02d87f	12109364	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (Sham_oxy_4)	COMPLETED	0	2024-08-15 09:13:23.265	1m 34s	1m 24s	456.2%	5.3 GB	6.4 GB	3.4 GB	7.2 MB
99	2e/5b38fc	12109363	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (Sham_oxy_4)	COMPLETED	0	2024-08-15 09:13:22.969	1m 35s	1m 20s	504.7%	5.1 GB	6.1 GB	6.9 GB	5.3 GB
93	ae/653d42	12109357	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (Sham_oxy_3)	COMPLETED	0	2024-08-15 09:12:42.883	2m 30s	2m 12s	401.8%	5 GB	5.7 GB	7.1 GB	5.4 GB
